"ppt","stim1","RWAscore","usvalence","response","XP"
"869599__20160428_154640.csv","B7",0.494141334210956,0.5,7,"XP03"
"869599__20160428_154640.csv","M3",0.494141334210956,-0.5,5,"XP03"
"869599__20160428_154640.csv","M2",0.494141334210956,-0.5,5,"XP03"
"869599__20160428_154821.csv","B6",0.241692688436088,0.5,9,"XP03"
"869599__20160428_154821.csv","M2",0.241692688436088,-0.5,1,"XP03"
"869599__20160428_154821.csv","B7",0.241692688436088,0.5,9,"XP03"
"869599__20160428_154821.csv","B3",0.241692688436088,0.5,9,"XP03"
"869599__20160428_154821.csv","B4",0.241692688436088,0.5,9,"XP03"
"869599__20160428_154821.csv","M3",0.241692688436088,-0.5,1,"XP03"
"869599__20160428_154821.csv","M1",0.241692688436088,-0.5,1,"XP03"
"869599__20160428_154821.csv","M8",0.241692688436088,-0.5,1,"XP03"
"869599__20160428_154821.csv","B8",0.241692688436088,0.5,9,"XP03"
"869599__20160428_154821.csv","M5",0.241692688436088,-0.5,1,"XP03"
"869599__20160428_154821.csv","B5",0.241692688436088,0.5,9,"XP03"
"869599__20160428_154821.csv","M6",0.241692688436088,-0.5,1,"XP03"
"869599__20160428_154821.csv","B1",0.241692688436088,0.5,9,"XP03"
"869599__20160428_154821.csv","M7",0.241692688436088,-0.5,1,"XP03"
"869599__20160428_154821.csv","B2",0.241692688436088,0.5,9,"XP03"
"869599__20160428_154821.csv","M4",0.241692688436088,-0.5,1,"XP03"
"869599__20160428_154858.csv","B7",0.241692688436088,0.5,4,"XP03"
"869599__20160428_154858.csv","M5",0.241692688436088,-0.5,6,"XP03"
"869599__20160428_154858.csv","M3",0.241692688436088,-0.5,4,"XP03"
"869599__20160428_154858.csv","B6",0.241692688436088,0.5,7,"XP03"
"869599__20160428_154858.csv","M7",0.241692688436088,-0.5,3,"XP03"
"869599__20160428_154858.csv","M6",0.241692688436088,-0.5,7,"XP03"
"869599__20160428_154858.csv","M8",0.241692688436088,-0.5,5,"XP03"
"869599__20160428_154858.csv","B3",0.241692688436088,0.5,7,"XP03"
"869599__20160428_154858.csv","B1",0.241692688436088,0.5,4,"XP03"
