"ppt","stim1","RWAscore","usvalence","response","XP"
"Greebles-4194-1","B2",-0.206282560924715,-0.5,6,"XP02"
"Greebles-4194-1","B3",-0.206282560924715,-0.5,6,"XP02"
"Greebles-4194-1","B4",-0.206282560924715,-0.5,5,"XP02"
"Greebles-4194-1","B5",-0.206282560924715,-0.5,4,"XP02"
"Greebles-4194-1","B6",-0.206282560924715,-0.5,4,"XP02"
"Greebles-4194-1","B7",-0.206282560924715,-0.5,5,"XP02"
"Greebles-4194-1","B8",-0.206282560924715,-0.5,4,"XP02"
"Greebles-4194-1","M1",-0.206282560924715,0.5,5,"XP02"
"Greebles-4194-1","M2",-0.206282560924715,0.5,4,"XP02"
"Greebles-4194-1","M3",-0.206282560924715,0.5,6,"XP02"
"Greebles-4194-1","M4",-0.206282560924715,0.5,5,"XP02"
"Greebles-4194-1","M5",-0.206282560924715,0.5,4,"XP02"
"Greebles-4194-1","M6",-0.206282560924715,0.5,4,"XP02"
"Greebles-4194-1","M7",-0.206282560924715,0.5,5,"XP02"
"Greebles-4194-1","M8",-0.206282560924715,0.5,5,"XP02"
"Greebles-4310-1","B1",-0.206282560924715,-0.5,6,"XP02"
"Greebles-4310-1","B2",-0.206282560924715,-0.5,3,"XP02"
"Greebles-4310-1","B3",-0.206282560924715,-0.5,7,"XP02"
"Greebles-4310-1","B4",-0.206282560924715,-0.5,6,"XP02"
"Greebles-4310-1","B5",-0.206282560924715,-0.5,5,"XP02"
"Greebles-4310-1","B6",-0.206282560924715,-0.5,6,"XP02"
"Greebles-4310-1","B7",-0.206282560924715,-0.5,5,"XP02"
"Greebles-4310-1","B8",-0.206282560924715,-0.5,5,"XP02"
"Greebles-4310-1","M1",-0.206282560924715,0.5,4,"XP02"
"Greebles-4310-1","M2",-0.206282560924715,0.5,4,"XP02"
"Greebles-4310-1","M3",-0.206282560924715,0.5,2,"XP02"
"Greebles-4310-1","M4",-0.206282560924715,0.5,2,"XP02"
"Greebles-4310-1","M5",-0.206282560924715,0.5,2,"XP02"
"Greebles-4310-1","M6",-0.206282560924715,0.5,2,"XP02"
"Greebles-4310-1","M7",-0.206282560924715,0.5,4,"XP02"
"Greebles-4310-1","M8",-0.206282560924715,0.5,1,"XP02"
"Greebles-4330-1","B1",1.74864687039801,0.5,8,"XP02"
"Greebles-4330-1","B2",1.74864687039801,0.5,7,"XP02"
"Greebles-4330-1","B3",1.74864687039801,0.5,9,"XP02"
"Greebles-4330-1","B4",1.74864687039801,0.5,9,"XP02"
"Greebles-4330-1","B5",1.74864687039801,0.5,9,"XP02"
"Greebles-4330-1","B6",1.74864687039801,0.5,6,"XP02"
